,title,author_last,author_first
387,gentlemen rogues wicked ladies a guide to british highwaymen highwaywomen,mcdonald, fiona
388,hope against history the course of conflict in northern ireland,holland, jack
389,evelyn a true story,doyle, evelyn
390,jefferson s daughters three sisters white and black in a young america,kerrison, catherine
391,triumph and tragedy ,churchill, winston
392,december the day the japanese attacked pearl harbor,prange, gordon william
393,memoirs of world war i,mitchell, william
394,secret heroes of world war ii tales of courage from the worlds of espionage and resistance,chaline, eric
395,at dawn we slept the untold story of pearl harbor,prange, gordon william
396,the siege of budapest one hundred days in world war ii,ungv ry, kriszti n 
397,killing the rising sun how america vanquished world war ii japan,o reilly, bill
398,show boat a novel ,ferber, edna
399,what they didn t teach you about the civil war,wright, mike
400,the slaves war the civil war in the words of former slaves,ward, andrew
401,the war of the revolution vol ,ward, christopher
402,storey s guide to training horses,thomas, heather smith
403,the horse conformation handbook,thomas, heather smith
404,the horse s mind,rees, lucy 
405,a z of horse diseases health problems signs diagnoses causes treatment,hawcroft, tim
406,starting running your own horse business,mcdonald, mary ashby
407,tinker tailor soldier spy ,le carr , john
408,d day june the climactic battle of world war ii,ambrose, stephen e 
409,the second world war in the west,messenger, charles
410,the battle for hell s island how a small band of carrier dive bombers helped save guadalcanal,moore, stephen l 
411,the american heritage history of world war i,marshall, s l a 
412,the worst hard time the untold story of those who survived the great american dust bowl,egan, timothy 
413,unexplained mysteries of world war ii,breuer, william b 
414, cookie recipes,gillespie, gregg r 
415,the best american recipes,mccullough, fran
416,the joy of vegan baking the compassionate cooks traditional treats and sinful sweets,patrick goudreau, colleen 
417,rosie s bakery chocolate packed jam filled butter rich no holds barred cookie book,rosenberg, judy
418,the homemade pantry foods you can stop buying start making,chernila, alana 
419,party cakes,deacon, carol
420,american sign language concise dictionary,sternberg, martin l a 
421,the joy of signing,riekehof, lottie l 
422,signing exact english,gustason, gerilee 
423,scottish kings ,donaldson, gordon 
424,born fighting how the scots irish shaped america,webb, james h 
425,a history of ireland,fry, peter 
426,dublin,lehane, brendan 
427,the phantom of the opera,leroux, gaston
428,kristy and the vampires,martin, ann m 
429,mary anne and the library mystery ,martin, ann m 
430,stacey s emergency,martin, ann m 
431,kristy s great idea,martin, ann m 
432,mary anne and too many boys,martin, ann m 
433,mary anne and the secret in the attic,martin, ann m 
434,the mystery at claudia s house,martin, ann m 
